IMDB_rating,IMDB_title,IMDB_titleID,IMDB_title_name
"6.1 based on 1,122 user ratings",Tracy Morgan: Staying Alive,/title/tt6680270/, Tracy Morgan: Staying Alive (2017) (TV Special) 
"7.4 based on 3,783 user ratings",Ali Wong: Hard Knock Wife,/title/tt7410684/, Ali Wong: Hard Knock Wife (2018) (TV Special) 
"8.0 based on 5,802 user ratings",John Mulaney: Kid Gorgeous at Radio City,/title/tt8271714/, John Mulaney: Kid Gorgeous at Radio City (2018) (TV Special) 
"2.9 based on 9,234 user ratings",Amy Schumer: The Leather Special,/title/tt6616074/, Amy Schumer: The Leather Special (2017) (TV Special) 
7.2 based on 839 user ratings,Gad Elmaleh: American Dream,/title/tt8110630/, Gad Elmaleh: American Dream (2018) (TV Special) 
"6.6 based on 2,906 user ratings",Aziz Ansari Live at Madison Square Garden,/title/tt4530184/, Aziz Ansari Live in Madison Square Garden (2015) (TV Special) 
6.2 based on 89 user ratings,Bridget Christie: Stand Up for Her,/title/tt7309512/, Bridget Christie: Stand Up for Her (2016) (TV Special) 
"7.2 based on 1,097 user ratings",Jo Koy: Live from Seattle,/title/tt6720442/, Jo Koy: Live from Seattle (2017) (TV Special) 
"8.4 based on 2,306 user ratings",James Acaster: Repertoire,/title/tt7818686/, James Acaster: Repertoire (2018) (TV Mini-Series) 
"7.6 based on 1,070 user ratings",Nate Bargatze: The Tennessee Kid,/title/tt9861504/, Nate Bargatze: The Tennessee Kid (2019) (TV Special) 
Not Found,Dave Chappelle,/name/nm0152638/," Dave Chappelle (Writer, Chappelle's Show (2003))"
"5.2 based on 3,410 user ratings",Amy Schumer Growing,/title/tt9770590/, Amy Schumer: Growing (2019) (TV Special) 
"7.2 based on 3,438 user ratings",Jimmy Carr: Funny Business,/title/tt5222724/, Jimmy Carr: Funny Business (2016) (Video) 
"8.0 based on 3,749 user ratings",Jeff Dunham: Arguing with Myself,/title/tt0806102/, Jeff Dunham: Arguing with Myself (2006) (TV Special) 
"7.5 based on 2,100 user ratings",Jeff Dunham: Controlled Chaos,/title/tt2058636/, Jeff Dunham: Controlled Chaos (2011) (TV Special) 
"7.1 based on 1,275 user ratings",Jeff Dunham: Minding the Monsters,/title/tt2461736/, Jeff Dunham: Minding the Monsters (2012) (TV Special) 
"7.5 based on 2,788 user ratings",Jeff Dunham's Very Special Christmas Special,/title/tt1295909/, Jeff Dunham's Very Special Christmas Special (2008) (TV Special) 
"6.9 based on 1,224 user ratings",Jim Norton: Mouthful of Shame,/title/tt6664120/, Jim Norton: Mouthful of Shame (2017) (TV Special) 
"7.9 based on 14,283 user ratings",Ricky Gervais: Humanity,/title/tt7830574/, Ricky Gervais: Humanity (2018) (TV Special) 
5.3 based on 122 user ratings,Adel Karam: Live from Beirut,/title/tt8081748/, Adel Karam: Live from Beirut (2018) (TV Special) 
5.5 based on 359 user ratings,Miranda Sings Live…Your Welcome,/title/tt9557190/, Miranda Sings Live... Your Welcome (2019) 
"8.3 based on 6,124 user ratings",Bill Burr: You People Are All the Same,/title/tt2290153/, Bill Burr: You People Are All the Same. (2012) (TV Special) 
"8.4 based on 8,284 user ratings",Bo Burnham: Make Happy,/title/tt5192124/, Bo Burnham: Make Happy (2016) (TV Special) 
5.6 based on 125 user ratings,Ralphie May: Imperfectly Yours,/title/tt3216296/, Ralphie May: Imperfectly Yours (2013) (TV Special) 
"6.6 based on 1,563 user ratings",Chris D'Elia: Man on Fire,/title/tt7068896/, Chris D'Elia: Man on Fire (2017) (TV Special) 
